weight,head,Gender,Marital,schooling,Last_certificate,Population_sector,Age_group,Employed,Hourly_wage,branch,Monthly_hours
209,0,Male,Single,14,Matriculation,Non-orthodox Jews,25-29,0,NA,NA,NA
415,1,Male,Separated,16,MA+,Non-orthodox Jews,65+,0,NA,NA,NA
340,0,Male,Single,18,MA+,Non-orthodox Jews,18-24,0,NA,NA,NA
340,0,Male,Single,18,MA+,Non-orthodox Jews,30-34,0,NA,NA,NA
340,1,Male,Single,23,MA+,Non-orthodox Jews,25-29,0,NA,NA,NA
340,0,Male,Separated,23,MA+,Non-orthodox Jews,25-29,0,NA,NA,NA
250,1,Female,Divorced,0,Up to secondary,Non-orthodox Jews,55-59,0,NA,NA,NA
189,1,Female,Married,25,MA+,Non-orthodox Jews,65+,0,NA,NA,NA
189,0,Male,Married,25,MA+,Non-orthodox Jews,65+,0,NA,NA,NA
165,0,Female,Single,10,Up to secondary,Non-orthodox Jews,15-17,0,NA,NA,NA
165,0,Female,Married,21,BA,Non-orthodox Jews,35-44,1,70.6383667,P,151.5500092
165,1,Male,Married,14,Post-secondary not academic,Non-orthodox Jews,45-54,1,50.10763931,P,216.499996
315,1,Female,Single,16,BA,Non-orthodox Jews,35-44,1,40.87739563,Q,194.8499859
315,0,Female,Married,16,BA,Non-orthodox Jews,65+,1,35.36984253,P,12.96000169
315,0,Male,Married,18,MA+,Non-orthodox Jews,65+,1,58.91184235,M,86.59999303
234,0,Female,Single,12,Matriculation,Non-orthodox Jews,18-24,1,46.40354538,G,108.2499958
234,1,Male,Married,12,Up to secondary,Non-orthodox Jews,60-64,0,NA,G,NA
234,0,Female,Married,12,Up to secondary,Non-orthodox Jews,60-64,0,NA,G,NA
181,0,Male,Married,15,Post-secondary not academic,Non-orthodox Jews,35-44,1,147.5510559,M,207.8399753
181,1,Female,Married,14,Matriculation,Non-orthodox Jews,35-44,1,78.94853973,I,259.7999931
128,1,Male,Married,18,MA+,Non-orthodox Jews,35-44,1,157.1071167,M,181.8599985
128,0,Female,Married,18,MA+,Non-orthodox Jews,35-44,0,NA,NA,NA
226,1,Female,Single,12,Post-secondary not academic,Non-orthodox Jews,30-34,1,27.18351936,Q,77.93999452
137,1,Female,Divorced,13,Post-secondary not academic,Non-orthodox Jews,55-59,1,46.43689728,Q,51.95999262
302,1,Male,Single,10,Up to secondary,Non-orthodox Jews,65+,0,NA,NA,NA
230,1,Female,Divorced,15,BA,Non-orthodox Jews,65+,0,NA,NA,NA
609,1,Male,Separated,13,Post-secondary not academic,Non-orthodox Jews,55-59,1,28.29257393,B,194.8500026
455,1,Female,Widowed,19,MA+,Non-orthodox Jews,65+,0,NA,NA,NA
88,1,Female,Single,16,Matriculation,Non-orthodox Jews,25-29,1,42.66503525,O,186.1900073
88,0,Male,Single,11,Matriculation,Non-orthodox Jews,25-29,0,NA,R,NA
228,0,Male,Single,16,MA+,Non-orthodox Jews,55-59,0,NA,NA,NA
228,1,Female,Single,16,MA+,Non-orthodox Jews,55-59,1,141.9766998,D,207.839974
221,1,Female,Single,19,BA,Non-orthodox Jews,45-54,1,137.9611969,Q,173.2000113
219,1,Female,Married,18,MA+,Non-orthodox Jews,25-29,1,13.63538361,P,207.8400104
219,0,Male,Married,17,BA,Non-orthodox Jews,30-34,1,41.2961998,J,194.8499863
382,1,Female,Widowed,12,Post-secondary not academic,Non-orthodox Jews,65+,0,NA,NA,NA
286,1,Male,Divorced,10,Up to secondary,Non-orthodox Jews,55-59,0,NA,F,NA
268,1,Male,Married,15,MA+,Non-orthodox Jews,65+,0,NA,NA,NA
268,0,Female,Married,19,MA+,Non-orthodox Jews,65+,0,NA,NA,NA
282,0,Male,Widowed,8,Up to secondary,Non-orthodox Jews,65+,0,NA,NA,NA
282,1,Male,Single,12,Up to secondary,Non-orthodox Jews,45-54,0,NA,NA,NA
319,1,Female,Single,16,BA,Non-orthodox Jews,55-59,1,94.01231384,M,216.5000008
319,0,Female,Single,12,Matriculation,Non-orthodox Jews,18-24,1,4.961670876,O,173.1999864
376,0,Female,Married,15,BA,Non-orthodox Jews,35-44,1,35.55960846,G,129.9000062
376,1,Male,Married,13,Post-secondary not academic,Non-orthodox Jews,35-44,1,45.99094391,H,259.8000009
540,0,Female,Married,19,MA+,Non-orthodox Jews,45-54,1,122.5278244,B,238.1500046
540,0,Female,Single,12,Matriculation,Non-orthodox Jews,18-24,1,38.6903038,J,194.8499866
540,0,Female,Single,12,Matriculation,Non-orthodox Jews,18-24,1,69.75244141,O,57.6000049
540,1,Male,Married,14,Matriculation,Non-orthodox Jews,55-59,1,163.3636932,J,303.0999985
552,1,Female,Divorced,12,Matriculation,Non-orthodox Jews,35-44,0,NA,I,NA
552,0,Female,Widowed,12,Matriculation,Non-orthodox Jews,65+,0,NA,NA,NA
279,0,Female,Married,26,MA+,Non-orthodox Jews,60-64,1,187.4693298,P,129.8999983
279,1,Male,Married,15,BA,Non-orthodox Jews,55-59,1,154.186554,B,151.5499899
438,1,Female,Married,17,BA,Non-orthodox Jews,30-34,1,41.42546082,J,194.8499867
438,0,Male,Married,17,BA,Non-orthodox Jews,30-34,1,58.59590149,K,164.5399916
370,0,Male,Single,12,Up to secondary,Non-orthodox Jews,18-24,1,9.672390938,O,181.8599979
370,1,Male,Married,14,Up to secondary,Non-orthodox Jews,45-54,1,98.74015045,P,216.5000159
370,0,Female,Married,16,BA,Non-orthodox Jews,45-54,1,91.0977478,D,194.8500035
115,0,Female,Married,16,BA,Arabs,35-44,1,37.36667252,M,173.200014
115,1,Male,Married,16,BA,Arabs,45-54,1,134.1919708,J,259.7999724
394,0,Male,Single,12,Up to secondary,Arabs,30-34,1,47.99383545,F,173.2000188
394,1,Male,Single,12,Up to secondary,Arabs,25-29,1,26.87794495,F,216.5000042
394,0,Female,Single,12,Up to secondary,Arabs,25-29,1,20.57829666,Q,155.8800114
394,0,Female,Married,9,Up to secondary,Arabs,55-59,0,NA,NA,NA
394,0,Male,Married,8,Up to secondary,Arabs,65+,0,NA,NA,NA
72,1,Female,Widowed,10,Up to secondary,Arabs,60-64,0,NA,NA,NA
214,1,Female,Single,11,Up to secondary,Arabs,65+,0,NA,NA,NA
543,0,Female,Married,16,BA,Arabs,45-54,1,65.48786926,P,177.5299866
543,1,Male,Married,16,BA,Arabs,45-54,0,NA,G,NA
543,0,Male,Single,12,Up to secondary,Arabs,15-17,0,NA,NA,NA
543,0,Female,Single,16,Matriculation,Arabs,18-24,0,NA,NA,NA
543,0,Female,Single,16,Matriculation,Arabs,18-24,1,30.93725014,G,129.8999917
214,1,Female,Widowed,16,BA,Non-orthodox Jews,65+,0,NA,NA,NA
214,1,Female,Widowed,10,Up to secondary,Arabs,65+,0,NA,NA,NA
111,1,Female,Widowed,13,Post-secondary not academic,Arabs,55-59,1,44.02701569,Q,134.229995
111,0,Male,Single,12,Matriculation,Arabs,18-24,0,NA,NA,NA
225,0,Male,Single,12,Matriculation,Arabs,18-24,1,24.99739838,F,207.8399882
225,0,Female,Married,12,Up to secondary,Arabs,45-54,0,NA,NA,NA
225,1,Male,Married,12,Up to secondary,Arabs,45-54,0,NA,B,NA
225,0,Male,Single,12,Matriculation,Arabs,18-24,1,17.16419983,B,207.8400104
155,0,Female,Married,8,Up to secondary,Arabs,65+,0,NA,NA,NA
155,0,Female,Single,10,Up to secondary,Arabs,35-44,0,NA,NA,NA
155,1,Male,Married,8,Up to secondary,Arabs,65+,0,NA,NA,NA
454,1,Male,Single,12,Up to secondary,Non-orthodox Jews,25-29,1,19.88426781,F,225.1599931
454,0,Female,Widowed,10,Matriculation,Non-orthodox Jews,65+,0,NA,NA,NA
408,0,Male,Single,10,Up to secondary,Non-orthodox Jews,18-24,0,NA,NA,NA
408,0,Male,Single,12,Up to secondary,Non-orthodox Jews,18-24,1,22.59147453,B,14.85000007
408,0,Female,Widowed,0,Up to secondary,Non-orthodox Jews,65+,0,NA,NA,NA
408,1,Male,Single,12,Up to secondary,Non-orthodox Jews,25-29,1,31.9946022,F,194.8499909
449,1,Female,Separated,12,Up to secondary,Non-orthodox Jews,30-34,1,24.05356216,G,181.8600019
89,0,Female,Divorced,12,Up to secondary,Non-orthodox Jews,35-44,1,26.69762611,Q,19.99999972
89,0,Female,Single,11,Up to secondary,Non-orthodox Jews,15-17,0,NA,NA,NA
89,1,Male,Single,12,Up to secondary,Non-orthodox Jews,18-24,1,4.394863129,O,194.8499792
305,0,Male,Married,13,Post-secondary not academic,Non-orthodox Jews,55-59,0,NA,H,NA
305,1,Male,Single,12,Matriculation,Non-orthodox Jews,18-24,1,4.792985439,O,194.849999
305,0,Female,Single,12,Matriculation,Non-orthodox Jews,18-24,1,4.775535107,P,173.2
305,0,Female,Married,14,Post-secondary not academic,Non-orthodox Jews,45-54,0,NA,NA,NA
283,1,Female,Married,18,MA+,Non-orthodox Jews,55-59,1,28.02606201,G,142.8900015
283,0,Male,Married,0,Up to secondary,Non-orthodox Jews,65+,0,NA,NA,NA
301,0,Male,Widowed,8,Up to secondary,Non-orthodox Jews,65+,0,NA,NA,NA
301,1,Male,Single,10,Matriculation,Non-orthodox Jews,60-64,0,NA,NA,NA
267,1,Female,Single,14,Post-secondary not academic,Non-orthodox Jews,60-64,0,NA,NA,NA
345,1,Female,Single,18,Post-secondary not academic,Non-orthodox Jews,65+,0,NA,NA,NA
192,1,Female,Single,10,Matriculation,Non-orthodox Jews,60-64,1,30.13066101,Q,86.59999809
322,1,Female,Widowed,4,Up to secondary,Non-orthodox Jews,65+,0,NA,NA,NA
262,0,Female,Widowed,13,Post-secondary not academic,Non-orthodox Jews,65+,0,NA,NA,NA
262,1,Male,Divorced,17,MA+,Non-orthodox Jews,45-54,0,NA,NA,NA
716,0,Male,Single,14,Up to secondary,Non-orthodox Jews,25-29,1,51.15620041,B,194.8499903
716,0,Female,Married,12,Up to secondary,Non-orthodox Jews,55-59,0,NA,NA,NA
716,0,Female,Single,15,Up to secondary,Non-orthodox Jews,25-29,1,34.78404236,M,173.2000156
716,0,Female,Single,12,Up to secondary,Non-orthodox Jews,18-24,1,34.30608368,B,84.39998958
716,1,Male,Married,12,Up to secondary,Non-orthodox Jews,55-59,1,52.50180435,B,259.799981
291,1,Male,Widowed,16,BA,Non-orthodox Jews,60-64,1,49.95407486,B,216.5000083
265,1,Male,Single,10,Up to secondary,Non-orthodox Jews,18-24,1,26.02501869,O,207.8400059
265,0,Female,Married,15,BA,Non-orthodox Jews,55-59,1,48.82330704,P,108.2499912
265,0,Male,Single,12,Matriculation,Non-orthodox Jews,18-24,0,NA,NA,NA
265,1,Male,Married,15,BA,Non-orthodox Jews,60-64,1,382.089386,X,194.8499804
265,0,Male,Single,12,Matriculation,Non-orthodox Jews,18-24,0,NA,NA,NA
176,1,Female,Married,16,MA+,Non-orthodox Jews,65+,0,NA,NA,NA
176,0,Male,Married,17,MA+,Non-orthodox Jews,65+,0,NA,NA,NA
335,0,Female,Married,15,Post-secondary not academic,Non-orthodox Jews,45-54,1,42.88030624,P,160.2099919
335,0,Male,Single,12,Matriculation,Non-orthodox Jews,25-29,1,33.99878693,O,173.1999985
335,1,Female,Single,12,Matriculation,Non-orthodox Jews,18-24,1,7.06317234,O,181.859986
335,0,Female,Single,13,Post-secondary not academic,Non-orthodox Jews,25-29,1,29.82818794,G,151.5500174
335,0,Male,Married,15,Post-secondary not academic,Non-orthodox Jews,55-59,0,NA,NA,NA
371,1,Male,Married,12,Matriculation,Non-orthodox Jews,30-34,1,64.96123505,G,216.5000005
371,0,Female,Married,18,BA,Non-orthodox Jews,30-34,1,91.96977234,Q,138.5599934
147,0,Male,Married,15,BA,Non-orthodox Jews,55-59,0,NA,NA,NA
147,1,Female,Married,15,BA,Non-orthodox Jews,45-54,0,NA,NA,NA
219,1,Male,Married,13,Post-secondary not academic,Non-orthodox Jews,65+,1,42.9565506,B,173.2000033
219,0,Female,Married,15,BA,Non-orthodox Jews,60-64,1,30.62243843,G,92.48000891
396,0,Female,Widowed,20,MA+,Non-orthodox Jews,60-64,1,27.17576218,Q,151.5500021
396,1,Female,Single,15,BA,Non-orthodox Jews,30-34,1,60.34857559,O,207.8399789
547,1,Male,Single,14,Post-secondary not academic,Non-orthodox Jews,25-29,0,NA,K,NA
151,0,Male,Married,14,Post-secondary not academic,Non-orthodox Jews,60-64,0,NA,H,NA
151,1,Female,Married,12,Up to secondary,Non-orthodox Jews,55-59,1,64.69311523,S,181.8599985
658,1,Female,Widowed,12,Up to secondary,Non-orthodox Jews,65+,0,NA,NA,NA
390,0,Female,Married,16,BA,Non-orthodox Jews,35-44,1,161.0329437,B,194.8499907
390,1,Male,Married,16,BA,Non-orthodox Jews,45-54,1,122.0794144,B,238.1500029
346,0,Female,Married,17,MA+,Non-orthodox Jews,45-54,1,103.2452927,K,151.5500011
346,1,Male,Married,15,BA,Non-orthodox Jews,45-54,1,117.1780243,J,207.8400058
346,0,Female,Single,12,Up to secondary,Non-orthodox Jews,15-17,0,NA,NA,NA
429,1,Male,Married,17,MA+,Non-orthodox Jews,35-44,1,176.7820587,M,194.8499793
429,0,Female,Married,15,BA,Non-orthodox Jews,35-44,1,133.2884216,J,194.8499933
131,1,Male,Married,17,MA+,Non-orthodox Jews,65+,1,56.11558151,K,238.1499833
131,0,Female,Married,14,Post-secondary not academic,Non-orthodox Jews,65+,0,NA,NA,NA
212,1,Female,Married,18,MA+,Non-orthodox Jews,65+,1,180.6336823,X,207.8400095
212,0,Male,Married,15,Post-secondary not academic,Non-orthodox Jews,65+,1,85.01216125,X,194.8499714
325,1,Male,Married,15,Post-secondary not academic,Non-orthodox Jews,55-59,1,73.07807159,J,303.0999917
325,0,Female,Single,12,Matriculation,Non-orthodox Jews,18-24,1,34.95854568,J,51.96000033
325,0,Female,Married,18,BA,Non-orthodox Jews,55-59,1,32.62022018,J,216.50002
217,1,Male,Single,12,Matriculation,Non-orthodox Jews,30-34,1,28.44381142,K,173.1999872
217,0,Male,Married,10,Up to secondary,Non-orthodox Jews,65+,0,NA,NA,NA
217,0,Female,Married,10,Up to secondary,Non-orthodox Jews,65+,0,NA,NA,NA
217,0,Male,Single,16,BA,Non-orthodox Jews,35-44,0,NA,NA,NA
270,0,Male,Married,14,Up to secondary,Ultra-orthodox,30-34,1,167.2612457,J,108.249985
270,1,Female,Married,15,BA,Ultra-orthodox,25-29,1,40.14474106,J,216.5000118
351,1,Male,Single,13,Matriculation,Non-orthodox Jews,35-44,1,16.89953995,G,129.8999858
351,0,Male,Widowed,9,Up to secondary,Non-orthodox Jews,65+,0,NA,NA,NA
315,1,Female,Divorced,12,Matriculation,Non-orthodox Jews,35-44,1,10.13080406,G,103.9200054
315,0,Female,Single,11,Up to secondary,Non-orthodox Jews,15-17,0,NA,NA,NA
297,1,Male,Married,16,BA,Non-orthodox Jews,35-44,1,130.9772491,B,194.8499926
297,0,Female,Married,18,BA,Non-orthodox Jews,35-44,0,NA,NA,NA
441,1,Male,Single,15,BA,Non-orthodox Jews,65+,0,NA,NA,NA
288,1,Male,Single,17,MA+,Non-orthodox Jews,30-34,1,37.69822693,G,173.2000028
360,1,Male,Married,18,BA,Non-orthodox Jews,45-54,1,96.32116699,L,259.8000109
360,0,Female,Single,12,Matriculation,Non-orthodox Jews,18-24,1,7.910752296,O,216.5000135
360,0,Female,Married,15,Post-secondary not academic,Non-orthodox Jews,45-54,0,NA,R,NA
143,0,Male,Married,12,Up to secondary,Non-orthodox Jews,60-64,0,NA,L,NA
143,1,Female,Married,10,Up to secondary,Non-orthodox Jews,60-64,1,109.8896637,K,173.200008
343,1,Female,Widowed,3,Up to secondary,Non-orthodox Jews,65+,0,NA,NA,NA
82,1,Female,Widowed,12,Matriculation,Non-orthodox Jews,65+,0,NA,NA,NA
491,1,Female,Widowed,0,Up to secondary,Non-orthodox Jews,65+,0,NA,NA,NA
380,0,Female,Single,16,Matriculation,Non-orthodox Jews,25-29,1,31.54606819,I,51.95999112
380,1,Female,Divorced,19,MA+,Non-orthodox Jews,45-54,1,41.47328568,M,173.1999945
345,1,Female,Divorced,16,MA+,Non-orthodox Jews,65+,0,NA,NA,NA
293,0,Male,Single,12,Matriculation,Non-orthodox Jews,25-29,1,32.15290451,J,19.73999901
293,1,Female,Single,15,BA,Non-orthodox Jews,25-29,1,32.26699066,J,190.5199779
162,0,Female,Married,12,Up to secondary,Non-orthodox Jews,25-29,1,76.57919312,P,129.8999939
162,1,Male,Married,15,Post-secondary not academic,Non-orthodox Jews,30-34,1,64.96123505,G,216.5000005
282,1,Male,Married,10,Up to secondary,Non-orthodox Jews,55-59,0,NA,F,NA
282,0,Female,Married,17,BA,Non-orthodox Jews,30-34,0,NA,NA,NA
280,1,Female,Divorced,8,Up to secondary,Non-orthodox Jews,65+,0,NA,NA,NA
369,1,Female,Single,20,MA+,Non-orthodox Jews,60-64,0,NA,NA,NA
261,1,Male,Married,15,BA,Non-orthodox Jews,35-44,1,151.0255737,F,216.4999898
261,0,Female,Married,14,Post-secondary not academic,Non-orthodox Jews,35-44,1,51.80767441,O,181.8599903
261,0,Male,Single,10,Up to secondary,Non-orthodox Jews,15-17,0,NA,NA,NA
552,0,Female,Married,12,Matriculation,Non-orthodox Jews,60-64,0,NA,NA,NA
552,0,Female,Single,14,Post-secondary not academic,Non-orthodox Jews,25-29,1,35.55766678,B,173.2000139
552,1,Male,Married,12,Up to secondary,Non-orthodox Jews,65+,1,70.64279938,O,181.8600016
308,1,Female,Separated,0,Up to secondary,Arabs,65+,0,NA,NA,NA
185,1,Male,Married,10,Up to secondary,Arabs,35-44,1,30.86744881,Q,207.8399894
185,0,Female,Married,7,Up to secondary,Arabs,35-44,1,23.96492767,I,173.1999844
260,0,Female,Divorced,8,Up to secondary,Non-orthodox Jews,60-64,0,NA,NA,NA
260,1,Male,Single,12,Up to secondary,Non-orthodox Jews,35-44,1,39.15047073,X,194.849988
324,1,Male,Divorced,12,Up to secondary,Non-orthodox Jews,45-54,1,58.56865692,H,173.1999905
249,0,Female,Married,4,Up to secondary,Non-orthodox Jews,65+,0,NA,NA,NA
249,1,Male,Married,6,Up to secondary,Non-orthodox Jews,65+,0,NA,NA,NA
233,0,Female,Married,17,Post-secondary not academic,Non-orthodox Jews,45-54,1,72.49972534,G,173.1999826
233,1,Male,Married,12,Matriculation,Non-orthodox Jews,60-64,1,27.838871,B,259.7999785
334,1,Female,Widowed,12,Up to secondary,Non-orthodox Jews,65+,0,NA,NA,NA
212,1,Female,Single,10,Up to secondary,Arabs,35-44,0,NA,NA,NA
576,1,Female,Divorced,8,Up to secondary,Non-orthodox Jews,65+,0,NA,NA,NA
137,0,Female,Married,15,Post-secondary not academic,Non-orthodox Jews,35-44,0,NA,NA,NA
137,1,Male,Married,16,Post-secondary not academic,Non-orthodox Jews,35-44,1,87.51981354,B,194.8499853
300,0,Female,Married,17,BA,Non-orthodox Jews,60-64,1,103.7413788,P,173.1999909
300,1,Male,Married,17,Post-secondary not academic,Non-orthodox Jews,65+,1,185.3999634,S,242.4799899
128,0,Female,Married,13,Post-secondary not academic,Non-orthodox Jews,30-34,1,26.30270004,Q,181.8599871
128,1,Male,Married,16,BA,Non-orthodox Jews,35-44,1,41.55038834,B,186.1900069
112,0,Male,Married,17,BA,Non-orthodox Jews,35-44,1,33.1146431,S,173.1999961
112,1,Female,Married,17,BA,Non-orthodox Jews,35-44,1,36.22605515,B,186.1899863
1269,0,Male,Single,15,Matriculation,Non-orthodox Jews,25-29,0,NA,NA,NA
1269,1,Female,Single,13,Matriculation,Non-orthodox Jews,25-29,1,29.36043739,G,116.7000081
739,0,Female,Married,15,BA,Non-orthodox Jews,30-34,1,37.1598587,X,194.8499913
739,1,Male,Married,16,BA,Non-orthodox Jews,30-34,1,63.63244247,B,194.849982
356,1,Male,Married,12,Up to secondary,Non-orthodox Jews,30-34,1,26.36142159,B,216.4999918
356,0,Female,Married,13,Post-secondary not academic,Non-orthodox Jews,25-29,1,31.54219055,M,129.899985
95,1,Female,Divorced,14,Post-secondary not academic,Non-orthodox Jews,65+,0,NA,NA,NA
219,0,Male,Married,19,BA,Ultra-orthodox,25-29,0,NA,NA,NA
219,1,Female,Married,16,Matriculation,Ultra-orthodox,18-24,1,27.34444809,S,173.1999889
213,0,Male,Married,49,Up to secondary,Ultra-orthodox,55-59,0,NA,NA,NA
213,0,Female,Single,11,Up to secondary,Ultra-orthodox,15-17,0,NA,NA,NA
213,1,Female,Married,14,BA,Ultra-orthodox,45-54,1,116.3501205,P,64.94999669
611,1,Male,Married,40,Post-secondary not academic,Ultra-orthodox,60-64,1,38.83460617,P,190.5199842
611,0,Female,Married,16,Post-secondary not academic,Ultra-orthodox,60-64,1,73.22875214,P,129.9000019
611,0,Female,Single,20,Post-secondary not academic,Ultra-orthodox,30-34,1,45.7834816,O,173.1999938
163,0,Female,Single,11,Up to secondary,Ultra-orthodox,15-17,0,NA,NA,NA
163,0,Male,Married,46,Post-secondary not academic,Ultra-orthodox,45-54,0,NA,NA,NA
163,0,Male,Single,12,Up to secondary,Ultra-orthodox,18-24,0,NA,NA,NA
163,1,Female,Married,16,BA,Ultra-orthodox,45-54,1,99.85739136,P,95.25999938
350,1,Female,Widowed,8,Up to secondary,Non-orthodox Jews,65+,0,NA,NA,NA
232,0,Female,Married,14,Matriculation,Ultra-orthodox,30-34,0,NA,NA,NA
232,1,Male,Married,18,Matriculation,Ultra-orthodox,30-34,1,71.03132629,P,194.8499888
152,0,Female,Married,15,Matriculation,Non-orthodox Jews,65+,0,NA,NA,NA
152,1,Male,Married,12,Matriculation,Non-orthodox Jews,65+,1,73.84920502,M,173.1999777
126,0,Male,Married,13,Up to secondary,Ultra-orthodox,35-44,1,42.98120499,P,33.12000206
126,1,Female,Married,16,BA,Ultra-orthodox,35-44,1,27.82999802,P,86.70000042
279,1,Female,Widowed,12,Up to secondary,Non-orthodox Jews,65+,0,NA,NA,NA
271,0,Female,Married,12,Up to secondary,Ultra-orthodox,30-34,1,56.32709503,P,142.8900001
271,1,Male,Married,28,Up to secondary,Ultra-orthodox,30-34,1,51.76114655,Q,194.8499767
334,0,Male,Married,12,Up to secondary,Ultra-orthodox,30-34,1,73.77941132,S,43.2999957
334,1,Female,Married,12,Up to secondary,Ultra-orthodox,30-34,1,37.52954102,P,173.2000052
143,0,Female,Married,12,Matriculation,Non-orthodox Jews,45-54,1,45.44361496,P,151.5500029
143,1,Male,Married,12,Up to secondary,Non-orthodox Jews,55-59,1,56.64014435,I,238.1499865
223,1,Female,Divorced,10,Up to secondary,Non-orthodox Jews,30-34,0,NA,NA,NA
396,0,Female,Married,20,BA,Ultra-orthodox,35-44,1,65.09309387,P,129.8999832
396,1,Male,Married,30,Post-secondary not academic,Ultra-orthodox,35-44,1,39.73773193,P,186.1900062
396,0,Male,Single,10,Up to secondary,Ultra-orthodox,15-17,0,NA,NA,NA
396,0,Male,Widowed,13,Up to secondary,Ultra-orthodox,18-24,0,NA,NA,NA
370,1,Male,Widowed,8,Up to secondary,Non-orthodox Jews,65+,0,NA,NA,NA
331,1,Female,Divorced,15,Post-secondary not academic,Non-orthodox Jews,45-54,0,NA,S,NA
331,0,Female,Single,9,Up to secondary,Non-orthodox Jews,15-17,0,NA,NA,NA
398,1,Male,Single,19,MA+,Non-orthodox Jews,30-34,1,75.45683289,Q,181.860006
398,0,Female,Single,15,Up to secondary,Non-orthodox Jews,25-29,0,NA,NA,NA
444,0,Male,Single,11,Up to secondary,Non-orthodox Jews,15-17,1,31.61392593,I,34.64000161
444,0,Female,Married,15,Post-secondary not academic,Non-orthodox Jews,35-44,1,43.21248627,Q,173.1999936
444,0,Male,Divorced,14,Post-secondary not academic,Non-orthodox Jews,60-64,0,NA,NA,NA
444,1,Male,Married,12,Up to secondary,Non-orthodox Jews,45-54,1,41.03927231,H,281.4499697
425,1,Male,Married,9,Up to secondary,Non-orthodox Jews,65+,0,NA,NA,NA
425,0,Female,Married,10,Post-secondary not academic,Non-orthodox Jews,65+,0,NA,NA,NA
858,0,Female,Single,16,BA,Non-orthodox Jews,18-24,1,34.15583801,G,108.2499977
858,0,Female,Married,14,Post-secondary not academic,Non-orthodox Jews,60-64,0,NA,NA,NA
858,0,Male,Single,15,Matriculation,Non-orthodox Jews,30-34,1,47.40634918,K,86.60000629
858,0,Female,Single,15,Matriculation,Non-orthodox Jews,25-29,1,25.71770287,G,64.9499931
858,1,Male,Married,10,Up to secondary,Non-orthodox Jews,60-64,1,62.29717636,O,173.2000023
450,1,Female,Separated,12,Up to secondary,Non-orthodox Jews,35-44,1,27.16910934,Q,138.7200119
450,0,Female,Widowed,12,Up to secondary,Non-orthodox Jews,65+,0,NA,NA,NA
347,1,Male,Married,19,Post-secondary not academic,Non-orthodox Jews,65+,0,NA,O,NA
